firm,level,amount,medianPercent,diffMedian
AT1,175e3,0.04,0.25,-0.21
TB5,175e3,0.25,0.25,0
AT5,175e3,0,0.25,-0.25
TB7,175e3,0.4,0.25,0.15000000000000002
PB9,175e3,0.4,0.25,0.15000000000000002
W,175e3,0.28,0.25,0.030000000000000027
GR1,2e5,0.22,0.27,-0.05000000000000002
PT10,2e5,0.39,0.27,0.12
TL13,2e5,0.32,0.27,0.04999999999999999
PT5,2e5,0.36,0.27,0.08999999999999997
PB7,2e5,0.1,0.27,-0.17
PT11,2e5,0.32,0.27,0.04999999999999999
AR2,2e5,0.2,0.27,-0.07
TR7,2e5,0.3,0.27,0.02999999999999997
TR2,2e5,0.25,0.27,-0.020000000000000018
AR6,2e5,0.4,0.27,0.13
TR8,2e5,0.19,0.27,-0.08000000000000002
AB5,2e5,0.35,0.27,0.07999999999999996
PB14,2e5,0.3,0.27,0.02999999999999997
AR7,2e5,0.25,0.27,-0.020000000000000018
TB6,2e5,0.24,0.27,-0.030000000000000027
TL9,2e5,0.2,0.27,-0.07
PB8,2e5,0.3,0.27,0.02999999999999997
PT3,2e5,0.09,0.27,-0.18000000000000002
TT7,2e5,0.31,0.27,0.03999999999999998
GB1,2e5,0.15,0.27,-0.12000000000000002
GT1,2e5,0.22,0.27,-0.05000000000000002
GL1,2e5,0.25,0.27,-0.020000000000000018
TL7,2e5,0.36,0.27,0.08999999999999997
AB6,2e5,0.35,0.27,0.07999999999999996
AB4,2e5,0.35,0.27,0.07999999999999996
PT12,2e5,0.29,0.27,0.019999999999999962
AT7,2e5,0.19,0.27,-0.08000000000000002
AB3,2e5,0.2,0.27,-0.07
PT13,2e5,0.37,0.27,0.09999999999999998
AB7,2e5,0.26,0.27,-0.010000000000000009
TL5,2e5,0.25,0.27,-0.020000000000000018
AT6,2e5,0.27,0.27,0
PR3,2e5,0,0.27,-0.27
PR2,2e5,0.25,0.27,-0.020000000000000018
AT3,2e5,0.29,0.27,0.019999999999999962
TL14,2e5,0.31,0.27,0.03999999999999998
PR1,2e5,0.2,0.27,-0.07
PB1,2e5,0.13,0.27,-0.14
PB6,2e5,0.33,0.27,0.06
AL3,2e5,0.2,0.27,-0.07
AT2,2e5,0.28,0.27,0.010000000000000009
AR3,2e5,0.33,0.27,0.06
PB3,2e5,0.23,0.27,-0.04000000000000001
PR4,2e5,0.38,0.27,0.10999999999999999
AB2,2e5,0.3,0.27,0.02999999999999997
AT1,2e5,0.09,0.27,-0.18000000000000002
TB5,2e5,0.25,0.27,-0.020000000000000018
AT5,2e5,0,0.27,-0.27
TB7,2e5,0.4,0.27,0.13
PB9,2e5,0.4,0.27,0.13
W,2e5,0.28,0.27,0.010000000000000009
GR1,225e3,0.22,0.27,-0.05000000000000002
PT10,225e3,0.39,0.27,0.12
TL13,225e3,0.32,0.27,0.04999999999999999
PT5,225e3,0.36,0.27,0.08999999999999997
PB7,225e3,0.1,0.27,-0.17
PT11,225e3,0.37,0.27,0.09999999999999998
AR2,225e3,0.2,0.27,-0.07
TR7,225e3,0.3,0.27,0.02999999999999997
TR2,225e3,0.25,0.27,-0.020000000000000018
AR6,225e3,0.4,0.27,0.13
TR8,225e3,0.19,0.27,-0.08000000000000002
AB5,225e3,0.38,0.27,0.10999999999999999
PB14,225e3,0.3,0.27,0.02999999999999997
AR7,225e3,0.25,0.27,-0.020000000000000018
TB6,225e3,0.24,0.27,-0.030000000000000027
TL9,225e3,0.2,0.27,-0.07
PB8,225e3,0.3,0.27,0.02999999999999997
PT3,225e3,0.09,0.27,-0.18000000000000002
TT7,225e3,0.31,0.27,0.03999999999999998
GB1,225e3,0.15,0.27,-0.12000000000000002
GT1,225e3,0.25,0.27,-0.020000000000000018
GL1,225e3,0.25,0.27,-0.020000000000000018
TL7,225e3,0.36,0.27,0.08999999999999997
AB6,225e3,0.35,0.27,0.07999999999999996
AB4,225e3,0.35,0.27,0.07999999999999996
PT12,225e3,0.29,0.27,0.019999999999999962
